2	1 + 1
4	2 + 2
6	3 + 3
8	4 + 4
10	5 + 5
12	6 + 6
14	7 + 7
16	8 + 8
18	9 + 9
20	10 + 10
22	11 + 11
24	12 + 12
26	13 + 13
28	14 + 14
30	15 + 15
32	16 + 16
34	17 + 17
36	18 + 18
38	19 + 19
40	20 + 20
1	1 + _ = 2
2	2 + _ = 4
3	3 + _ = 6
4	4 + _ = 8
5	5 + _ = 10
6	6 + _ = 12
7	7 + _ = 14
8	8 + _ = 16
9	9 + _ = 18
10	10 + _ = 20
11	11 + _ = 22
12	12 + _ = 24
13	13 + _ = 26
14	14 + _ = 28
15	15 + _ = 30
16	16 + _ = 32
17	17 + _ = 34
18	18 + _ = 36
19	19 + _ = 38
20	20 + _ = 40
11	_ + 11 = 22
12	_ + 12 = 24
13	_ + 13 = 26
14	_ + 14 = 28
15	_ + 15 = 30
16	_ + 16 = 32
17	_ + 17 = 34
18	_ + 18 = 36
19	_ + 19 = 38
20	_ + 20 = 40
