0   1 * 0
0   2 * 0
0   5 * 0
0   6 * 0
0   10 * 0
2   1 * 2
3   1 * 3
4   1 * 4
4   2 * 2
5   1 * 5
6   1 * 6
6   2 * 3
7   1 * 7
8   1 * 8
8   2 * 4
9   1 * 9
10   1 * 10
10   2 * 5
10   5 * 2
11   1 * 11
12   1 * 12
12   2 * 6
12   6 * 2
14   2 * 7
15   5 * 3
16   2 * 8
18   2 * 9
18   6 * 3
20   2 * 10
20   5 * 4
20   10 * 2
22   2 * 11
24   2 * 12
24   6 * 4
25   5 * 5
30   5 * 6
30   6 * 5
30   10 * 3
35   5 * 7
36   6 * 6
40   5 * 8
40   10 * 4
42   6 * 7
45   5 * 9
48   6 * 8
50   5 * 10
50   10 * 5
54   6 * 9
55   5 * 11
60   5 * 12
60   6 * 10
60   10 * 6
66   6 * 11
70   10 * 7
72   6 * 12
80   10 * 8
90   10 * 9
100   10 * 10
110   10 * 11
120   10 * 12
